Dish Name,Region/Origin,Ingredients,Cultural Significance
Beef Broccoli,Cantonese,Beef broccoli garlic soy sauce oyster sauce ginger,Popular ChineseAmerican cuisine
Beef Chow Fun,Cantonese,Beef wide rice noodles soy sauce bean sprouts green onions ginger,Classic Cantonese dish
Black Bean Sauce,Chinese,Black bean paste soy sauce garlic ginger green onions vegetables,Common Chinese stirfries
Cantonese Chow Mein,Cantonese,Chow mein noodles pork chicken soy sauce vegetables,Staple Cantonese restaurants
Char Siu,Cantonese,Pork hoisin sauce Chinese fivespice powder honey soy sauce,Famous Cantonese BBQ dish
Chinese BBQ Pork,Cantonese,Pork shoulder soy sauce hoisin sauce maltose Chinese fivespice powder,Cantonese BBQ specialty
Chow Mein,Cantonese,Egg noodles soy sauce vegetables carrot cabbage green onions pork chicken,Popular Chinese takeout dish
Clay Pot Rice,Cantonese,Rice chicken sausage shiitake mushrooms soy sauce,Comfort food Cantonese cuisine
Dan Dan Noodles,Sichuan,Noodles ground pork chili paste Sichuan peppercorns garlic soy sauce,Spicy famous Sichuan dish
Dim Sum,Cantonese,Shrimp pork bamboo shoots dumpling wrappers soy sauce garlic,Tradition Cantonese tea houses
Dumplings,Various,Pork beef cabbage garlic ginger soy sauce dumpling wrappers,Popular many regions
Fried Rice,Cantonese,Rice shrimp eggs peas carrots soy sauce,Common Chinese restaurants
General Tsos Chicken,ChineseAmerican,Chicken soy sauce ginger garlic sesame oil chili sugar,Popular ChineseAmerican cuisine
Honey Walnut Shrimp,Cantonese,Shrimp walnuts honey mayonnaise sesame oil garlic,Common ChineseAmerican restaurants
Hot Sour Soup,Sichuan,Tofu mushrooms bamboo shoots vinegar soy sauce egg ginger chili paste,Traditional Chinese dining
Hot Pot,Sichuan Chongqing,Broth various meats beef lamb chicken vegetables mushrooms chili paste,social meal especially winter
Dumplings,Chinese,Pork beef cabbage ginger garlic green onions dumpling wrappers,Traditional Chinese dish
Egg Rolls,ChineseAmerican,Cabbage carrots pork shrimp garlic soy sauce egg roll wrappers,Popular appetizer ChineseAmerican cuisine
Fried Rice,Chinese,Rice eggs peas carrots soy sauce green onions shrimp pork,common side dish Chinese cuisine
General Tsos Chicken,ChineseAmerican,Chicken soy sauce sugar garlic ginger chili peppers cornstarch,Popular ChineseAmerican dish
General Tsos Tofu,ChineseAmerican,Tofu soy sauce sugar garlic ginger chili peppers cornstarch,Vegetarian version General Tsos Chicken
Honey Walnut Shrimp,Cantonese,Shrimp walnuts honey mayonnaise sweetened condensed milk lemon juice,Popular Cantonese dish ChineseAmerican restaurants
Hot Sour Soup,Chinese,Tofu mushrooms bamboo shoots black vinegar soy sauce garlic ginger,Traditional soup Chinese cuisine
Hot Pot,Chinese,Broth lamb beef tofu vegetables chili paste garlic Sichuan peppercorns,Popular Sichuan regions
Kung Pao Chicken,Sichuan,Chicken peanuts chili peppers soy sauce garlic ginger Sichuan peppercorns,Famous dish Sichuan cuisine
Lo Mein,Chinese,Noodles soy sauce vegetables carrots cabbage green onions pork chicken,Common Chinese dish often served stirfries
La Xiang Guo,Sichuan,Meat chicken beef pork vegetables Sichuan peppercorns chili paste garlic,Popular street food Sichuan
Po Tofu,Sichuan,Tofu ground pork Sichuan peppercorns chili paste soy sauce garlic ginger,Classic Sichuan dish popular China
Mapo Doufu,Sichuan,Tofu ground pork Sichuan peppercorns chili paste soy sauce garlic ginger,One famous Sichuan dishes
Mongolian Beef,ChineseAmerican,Beef soy sauce green onions garlic ginger sugar cornstarch,Popular ChineseAmerican dish
Orange Chicken,ChineseAmerican,Chicken orange juice sugar soy sauce vinegar garlic ginger cornstarch,Famous ChineseAmerican dish
Peking Duck,Beijing,Duck soy sauce hoisin sauce pancakes scallions cucumber sugar garlic,Famous Chinese dish traditionally served Beijing
Peking Noodles,Beijing,Noodles soy sauce hoisin sauce sesame oil garlic green onions,Popular noodle dish Beijing
Peking Pork Chops,Beijing,Pork chops soy sauce hoisin sauce sugar garlic ginger scallions,popular dish Peking cuisine
Salt Pepper Squid,Cantonese,Squid salt pepper garlic green onions chili cornstarch,Popular Cantonese dish often served Chinese restaurants
Salt Pepper Tofu,Chinese,Tofu salt pepper garlic chili peppers cornstarch,Vegetarian version salt pepper dishes
Scallion Pancakes,Chinese,Flour green onions sesame oil salt water oil frying,Traditional Chinese snack appetizer
Sesame Chicken,ChineseAmerican,Chicken sesame seeds soy sauce sugar garlic ginger cornstarch,Popular ChineseAmerican dish
Sesame Noodles,Chinese,Noodles sesame paste soy sauce garlic ginger sesame oil green onions,common dish Chinese cuisine often served cold dish
Shanghai Noodles,Shanghai,Noodles pork soy sauce green onions garlic sugar ginger,popular dish Shanghai cuisine
Shrimp Toast,Cantonese,Shrimp white bread egg sesame seeds soy sauce garlic,popular Cantonese appetizer
Spicy Szechuan Noodles,Sichuan,Noodles chili paste soy sauce Sichuan peppercorns garlic sesame oil,popular spicy noodle dish Sichuan
Spring Rolls,Chinese,Flour wrappers cabbage carrots shrimp pork garlic soy sauce vinegar,traditional Chinese appetizer
Steamed Buns,Chinese,Flour pork vegetables soy sauce sesame oil sugar,staple Chinese cuisine often served breakfast snack
Stuffed Eggplant,Chinese,Eggplant ground pork garlic soy sauce ginger sesame oil scallions,popular dish Chinese Sichuan cuisine
Sweet Sour Pork,Cantonese,Pork bell peppers pineapple carrots vinegar sugar soy sauce ketchup,classic Cantonese dish widely popular worldwide
Sweet Sour Tofu,Chinese,Tofu bell peppers pineapple vinegar sugar soy sauce ketchup,vegetarian version classic sweet sour pork
Szechuan Beef,Sichuan,Beef soy sauce garlic ginger chili paste Sichuan peppercorns green onions,popular dish Sichuan cuisine known bold flavors
Tea Eggs,Chinese,Eggs soy sauce tea leaves star anise cinnamon rice vinegar sugar,popular street food snack China often served snack festivals
Wonton Noodles,Chinese,Wontons pork shrimp noodles soy sauce garlic green onions broth,staple noodle soup Chinese cuisine
Wonton Soup,Chinese,Wontons pork shrimp broth soy sauce garlic green onions sesame oil,traditional Chinese soup
XO Sauce,Cantonese,Dried scallops dried shrimp ham garlic chili soy sauce sugar,luxury sauce popular Cantonese cuisine
Zha Jiang Mian,Beijing,Noodles ground pork soybean paste soy sauce garlic cucumber green onions,popular dish Beijing
Sichuan TwiceCooked Pork Hui Guo Rou,Sichuan,Pork belly Sichuan bean paste soy sauce garlic ginger chili peppers green onions,famous dish Sichuan known bold flavors
Shandong Braised Chicken Chestnuts,Shandong,Chicken chestnuts soy sauce Shaoxing wine ginger garlic star anise cinnamon,traditional dish Shandong province
Sichuan DryFried Green Beans Gan Bian Si Ji Dou,Sichuan,Green beans ground pork soy sauce garlic Sichuan peppercorns chili paste,popular Sichuan stirfry dish
Shandong Grilled Fish,Shandong,Whole fish soy sauce garlic ginger Sichuan peppercorns chili paste sesame oil,famous Shandong grilled fish dish
Beijing Duck,Beijing,Duck hoisin sauce pancakes scallions cucumber garlic ginger soy sauce,traditional iconic dish Beijing
Shandong Braised Pork Chestnuts,Shandong,Pork chestnuts soy sauce Shaoxing wine ginger garlic cinnamon star anise,beloved dish Shandong province
Mongolian Mutton Hot Pot,Mongolian,Mutton vegetables spinach potatoes chili paste garlic Sichuan peppercorns tofu,popular Mongolian hot pot dish
Dongbei Braised Cabbage,Dongbei Northeast China,Cabbage pork belly soy sauce Shaoxing wine garlic ginger Chinese fivespice powder,hearty dish Northeast China
Xian Roujiamo Chinese Hamburger,Xian,Pork beef flatbread soy sauce cumin garlic ginger coriander chili oil,popular street food Xian
Fujian Sweet Rice Cake,Fujian,Sweet rice sugar sesame oil red bean paste chestnut filling,traditional dessert Fujian
Xian Pita Bread Soaked Lamb Soup,Xian,Lamb pita bread garlic green onions cumin chili paste sesame oil,signature dish Xian
Chongqing Hot Pot,Chongqing,Hot pot broth lamb beef tofu mushrooms bean sprouts chili paste Sichuan peppercorns,hot spicy dish Chongqing
Fried Sweet Potatoes,Chinese,Sweet potatoes oil frying sugar sesame seeds,common snack Chinese cuisine
Chengdu Street Food,Chengdu,Various skewers lamb beef chicken tofu eggplant potatoes chili paste cumin,popular street food scene Chengdu
Hong Kong Egg Tart,Hong Kong,Pastry crust egg custard eggs sugar milk vanilla extract,famous dessert Hong Kong
Xinjiang Lamb Skewers,Xinjiang,Lamb cumin chili powder garlic sesame oil green onions vinegar,traditional street food Xinjiang
Zhejiang West Lake Fish Vinegar Gravy,Zhejiang,Fish rice vinegar sugar soy sauce ginger garlic green onions Shaoxing wine,traditional dish Zhejiang
Jiaozi Dumplings,Nationwide,Ground pork cabbage soy sauce ginger garlic dumpling wrappers,Traditional dish eaten Chinese New Year
Sichuan Hot Pot Mala,Sichuan,Beef lamb tofu vegetables Sichuan peppercorns chili broth,spicy communal dining experience Sichuan
Shandong Braised Chicken Chestnuts,Shandong,Chicken chestnuts soy sauce Shaoxing wine ginger garlic star anise,popular dish Shandong cuisine
Lamb Kebabs Xinjiang Style,Xinjiang,Lamb cumin chili powder garlic green onions sesame oil,street food specialty Xinjiang
Shengjianbao,Shanghai,Pork dough ginger garlic sesame oil,Popular breakfast dish Shanghai
Bingtanghulu,Beijing,Skewered fruit usually hawthorn sugar syrup,traditional candy snack Beijing
Goubuli Baozi,Tianjin,Pork ginger garlic soy sauce dough,Famous stuffed bun Tianjin
Bing Chinese Flatbread,Northern China,Flour sesame scallions sometimes filled meats vegetables,Popular flatbread Northern China
Char Kway Teow,Guangdong Southeast Asia,Flat rice noodles shrimp eggs bean sprouts soy sauce chili paste,popular dish Southeast Asia often eaten street food
Chow Chow Pickled Vegetables,Chinese,Cabbage carrots cucumbers garlic ginger chili sugar vinegar,traditional Chinese side dish
Lotus Root Soup,Chinese,Lotus root pork ribs ginger red dates goji berries,nutritious soup consumed good health
Eggplant Garlic Sauce,Chinese,Eggplant garlic soy sauce vinegar sugar chili,staple vegetarian dish Chinese cuisine
Chinese Porridge Congee,Nationwide,Rice water broth pickled vegetables meats optional,Common breakfast dish throughout China
Steamed Fish Ginger Scallions,Nationwide,Fish typically whole ginger scallions soy sauce,traditional Chinese dish representing prosperity
Chinese StirFried Clams,Chinese,Clams garlic chili soy sauce green onions bell peppers,popular seafood dish coastal China
Fish Fragrant Eggplant,Sichuan,Eggplant garlic ginger soy sauce chili paste vinegar sugar,famous Sichuan dish despite fish used
Sichuan Cold Noodles Liang Mian,Sichuan,Noodles chili oil garlic sesame paste cucumber green onions,refreshing summer dish Sichuan
Kung Pao Shrimp,Sichuan,Shrimp peanuts green peppers garlic ginger soy sauce Sichuan peppercorns,variation classic Kung Pao Chicken
West Lake Fish Vinegar Sauce,Zhejiang,Fish rice vinegar sugar soy sauce ginger garlic,famous dish West Lake region Zhejiang
Fujian Fried Rice,Fujian,Rice shrimp pork peas carrots soy sauce green onions,popular dish Fujian cuisine
Buddhas Delight,Buddhist cuisine,Tofu mushrooms bamboo shoots Chinese cabbage snow peas soy sauce ginger,vegetarian dish enjoyed Buddhists
Tianjin Goubuli Baozi,Tianjin,Pork ginger garlic soy sauce dough,Famous stuffed bun Tianjin
Nanjing Salted Duck,Nanjing,Duck soy sauce spices herbs,traditional dish Nanjing
Shandong Braised Fish,Shandong,Fish soy sauce ginger scallions sugar vinegar,popular dish Shandong cuisine
Fried Crab Salted Egg,Guangdong,Crab salted eggs garlic chili ginger soy sauce,coastal dish popular Guangdong
TeaSmoked Duck,Zhejiang,Duck tea leaves soy sauce spices,delicacy Zhejiang cuisine
Chinese Scallion Pancakes,Nationwide,Flour scallions sesame oil salt water,traditional snack throughout China
Tangyuan,Nationwide,Glutinous rice flour sweet fillings sesame paste red bean paste etc,Eaten Lantern Festival special occasions
Scallion Pancakes,Nationwide,Flour scallions sesame oil salt water,traditional snack throughout China
Hong Kongstyle Pineapple Bun,Hong Kong,Flour sugar butter eggs yeast pineapple essence evaporated milk,popular Hong Kong breakfast item
Chinesestyle BBQ Ribs,Nationwide,Pork ribs soy sauce hoisin sauce honey garlic ginger,popular BBQ dish Chinese cuisine
Lotus Root Stir Fry,Nationwide,Lotus root soy sauce chili garlic ginger,popular vegetable dish Chinese cuisine
Sweet Sour Soup,Nationwide,Vinegar sugar soy sauce vegetables eg mushrooms bamboo shoots,comforting soup Chinese households
Cantonesestyle Hot Pot,Cantonese,Beef lamb tofu mushrooms various vegetables broth,communal dish popular Cantonese cuisine
Chinese Pickled Vegetables Pao Cai,Nationwide,Cabbage carrots garlic ginger vinegar chili,Often served side dish meals
StirFried Bitter Melon,Nationwide,Bitter melon garlic soy sauce chili,dish valued health benefits
Silken Tofu Century Egg,Nationwide,Silken tofu century egg soy sauce sesame oil green onions,popular appetizer Chinese cuisine
