Dish Name,Region/Origin,Ingredients,Cultural Significance
1.0,36,1,2
1.0,36,1,1
1.0,21,1,1
1.0,36,1,1
2.0,36,1,1
1.0,36,1,1
1.0,36,1,1
1.0,36,1,1
1.0,25,1,1
2.0,36,1,1
2.0,1,1,1
4.0,36,1,1
2.0,7,1,2
2.0,36,1,1
6.0,25,1,1
3.0,1,1,1
2.0,21,1,1
2.0,7,1,1
4.0,21,1,1
2.0,7,1,3
1.0,7,1,1
2.0,36,1,1
6.0,21,1,1
3.0,21,1,1
1.0,25,1,1
1.0,21,1,1
1.0,25,1,1
1.0,25,2,1
1.0,25,2,1
1.0,7,1,3
1.0,7,1,1
2.0,11,1,1
1.0,11,1,1
1.0,11,1,1
1.0,36,1,1
1.0,21,1,1
2.0,21,1,1
2.0,7,1,3
1.0,21,1,1
1.0,5,1,1
1.0,36,1,1
1.0,25,1,1
1.0,21,1,1
1.0,21,1,1
9.0,21,1,1
2.0,36,1,1
1.0,21,1,1
2.0,25,1,1
1.0,21,1,1
2.0,21,1,1
2.0,21,1,1
1.0,36,1,1
1.0,11,1,1
1.0,25,1,1
2.0,8,1,1
1.0,25,1,1
1.0,8,1,1
1.0,11,1,1
1.0,8,1,1
1.0,1,1,1
1.0,1,1,1
1.0,3,1,1
1.0,3,1,1
1.0,3,1,1
1.0,3,1,1
6.0,21,1,1
1.0,2,1,1
1.0,3,1,1
1.0,2,1,1
1.0,5,1,1
1.0,1582,1,1
1.0,25,1,1
2.0,8,1,2
1.0,2,1,1
1.0,5,1,1
1.0,11,1,1
1.0,3,2,2
1.0,1,1,1
5.0,1,1,1
1.0,21,1,1
2.0,21,1,1
1.0,21,1,1
1.0,1582,1,1
1.0,1582,1,1
1.0,21,1,1
1.0,25,2,1
1.0,25,1,1
1.0,25,1,1
1.0,5,1,1
1.0,3,1,1
1.0,1,1,1
1.0,3,2,2
1.0,1,1,1
1.0,8,1,2
1.0,4,1,1
1.0,5,1,1
1.0,1582,2,2
1.0,1582,1,1
2.0,1582,2,2
1.0,3,1,1
1.0,1582,1,1
1.0,1582,1,1
3.0,1582,1,1
1.0,36,1,1
1.0,1582,1,1
1.0,1582,1,1
1.0,1582,1,1
